datetime,Open,High,Low,Close,Volume,VWAP,Transactions
2025-01-02 05:00:00,190.65,192.0,187.5,189.43,20370828.0,189.585,328515
2025-01-03 05:00:00,191.37,193.21,189.975,191.79,18596159.0,191.744,261756
2025-01-06 05:00:00,193.98,198.2222,193.85,196.87,29563638.0,196.6983,385128
2025-01-07 05:00:00,197.11,201.0,194.6,195.49,26487244.0,196.9118,363663
2025-01-08 05:00:00,192.57,196.29,192.38,193.95,24864766.0,194.3292,339162
2025-01-10 05:00:00,194.295,196.52,190.31,192.04,26665206.0,192.7975,379247
2025-01-13 05:00:00,190.07,191.18,187.36,191.01,21823699.0,190.091,299678
2025-01-14 05:00:00,191.24,191.98,188.3082,189.66,17174854.0,190.0464,236897
2025-01-15 05:00:00,193.09,196.36,191.86,195.55,21775969.0,194.8156,270843
2025-01-16 05:00:00,194.14,195.48,192.81,192.91,17815432.0,193.805,243139
2025-01-17 05:00:00,196.53,197.23,193.75,196.0,27735089.0,195.9514,277088
2025-01-21 05:00:00,199.07,202.29,197.87,198.05,29971292.0,198.9273,440060
2025-01-22 05:00:00,199.06,200.48,197.53,198.37,26200617.0,198.8199,343060
2025-01-23 05:00:00,198.14,200.3,195.2,197.98,26951357.0,197.9201,332356
2025-01-24 05:00:00,198.1,200.9,198.0,200.21,23877521.0,199.7579,293405
2025-01-27 05:00:00,192.41,196.88,190.73,191.81,41728893.0,192.9207,617250
2025-01-28 05:00:00,192.745,195.48,190.68,195.3,24157929.0,194.4465,332199
2025-01-29 05:00:00,195.555,196.785,193.43,195.41,18218256.0,195.138,276385
2025-01-30 05:00:00,198.0,201.4,197.67,200.87,24354684.0,200.1611,336195
2025-01-31 05:00:00,202.0,205.48,201.8,204.02,32041952.0,204.215,411503
2025-02-03 05:00:00,200.69,203.75,200.1,201.23,27838348.0,201.8328,404557
2025-02-04 05:00:00,203.39,207.05,202.81,206.38,43856425.0,202.0759,615084
2025-02-05 05:00:00,191.07,192.75,188.03,191.33,70461770.0,190.2654,1094134
2025-02-06 05:00:00,189.5,192.1,188.72,191.6,29297442.0,190.8193,425109
2025-02-07 05:00:00,191.05,191.18,183.24,185.34,49314961.0,186.0568,720917
2025-02-10 05:00:00,187.35,188.2,185.86,186.47,23105649.0,186.7638,338937
2025-02-11 05:00:00,185.03,186.94,184.28,185.32,21239519.0,185.2865,289644
2025-02-12 05:00:00,183.22,185.11,181.83,183.61,22072559.0,183.5563,330693
2025-02-13 05:00:00,184.32,186.28,183.14,186.14,21402523.0,184.8211,289687
2025-02-14 05:00:00,185.055,186.4,184.32,185.23,20448437.0,185.242,314620
2025-02-18 05:00:00,185.6,185.96,181.7401,183.77,29916675.0,183.6997,445505
2025-02-19 05:00:00,184.07,185.46,183.59,185.27,19549396.0,184.7411,275318
2025-02-20 05:00:00,184.8,185.31,182.72,184.56,20441462.0,184.2004,305782
2025-02-21 05:00:00,185.15,185.34,179.08,179.66,35199239.0,180.9577,502343
2025-02-24 05:00:00,181.99,183.12,178.885,179.25,29854206.0,180.3626,398796
2025-02-25 05:00:00,178.04,178.74,174.6939,175.42,41913411.0,176.1505,538759
2025-02-26 05:00:00,175.07,176.08,171.5807,172.73,35431268.0,173.5963,497010
2025-02-27 05:00:00,173.99,174.56,167.94,168.5,39991015.0,170.1052,521290
2025-02-28 05:00:00,168.68,170.61,166.77,170.28,48130565.0,169.1627,478174
2025-03-03 05:00:00,171.925,173.37,165.93,167.01,40770451.0,168.4287,492112
2025-03-04 05:00:00,166.24,173.2946,165.8,170.92,45387996.0,169.7378,628834
2025-03-05 05:00:00,170.52,173.78,169.06,173.02,30954922.0,171.8896,403758
2025-03-06 05:00:00,170.53,174.81,170.5,172.35,28301953.0,172.5684,396440
2025-03-07 05:00:00,171.26,174.97,170.27,173.86,27385813.0,172.8892,391515
2025-03-10 04:00:00,168.26,168.46,163.69,165.87,43604027.0,165.8538,729408
2025-03-11 04:00:00,164.91,166.75,161.37,164.04,39587414.0,164.3432,510578
2025-03-12 04:00:00,166.58,167.6399,163.53,167.11,28372396.0,166.1158,408251
2025-03-13 04:00:00,166.035,166.13,162.11,162.76,31756214.0,163.5674,394099
2025-03-14 04:00:00,163.27,166.49,162.45,165.49,31995894.0,164.4089,426634
2025-03-17 04:00:00,165.03,166.3,163.67,164.29,31184335.0,164.7091,370001
2025-03-18 04:00:00,163.675,164.25,156.72,160.67,42074751.0,159.8761,575950
2025-03-19 04:00:00,161.76,165.87,161.0,163.89,34275582.0,163.4708,394050
2025-03-20 04:00:00,161.57,164.89,160.96,162.8,28138464.0,162.9173,344966
2025-03-21 04:00:00,161.205,164.24,160.8901,163.99,36625764.0,163.0132,295271
2025-03-24 04:00:00,167.065,168.32,165.14,167.68,30879129.0,167.3131,341183
2025-03-25 04:00:00,168.98,170.63,168.315,170.56,24174373.0,169.9023,307722
